request_id,request_time,room_id,operation_type,current_temperation,target_temperation,fan_speed,air_fee,fee_rate,total_server_time
1,2024-12-01 02:38:31.293687,1,调温,25.204000000000327,24.0,中速,2.528000000000002,1元/度,78.3
0,2024-12-01 02:37:12.952452,1,开机,32.0,25.0,中速,0.0,1元/度,
